INFO DATE TIME CLASS LINE DATASET ALGORITHM REPRESENTATION WORDSIZE ALPHA SCORE
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 8 0.46
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 9 0.43
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 10 0.45
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 11 0.46
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 12 0.45
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 13 0.48
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 14 0.47
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 15 0.49
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 16 0.53
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 3 0.45
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 4 0.44
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 5 0.43
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 6 0.44
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 7 0.44
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 8 0.43
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 9 0.47
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 10 0.42
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 11 0.42
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 12 0.45
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 13 0.47
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 14 0.47
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 15 0.47
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 12 16 0.44
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 3 0.45
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 4 0.43
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 5 0.41
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 6 0.49
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 7 0.44
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 8 0.47
