[series][INFO] [2020-09-14 16:27:04] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 5 0.1
[series][INFO] [2020-09-14 16:27:04] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 6 0.15
[series][INFO] [2020-09-14 16:27:05] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 7 0.1
[series][INFO] [2020-09-14 16:27:05] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 8 0.17
[series][INFO] [2020-09-14 16:27:05] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 9 0.16
[series][INFO] [2020-09-14 16:27:06] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 10 0.15
[series][INFO] [2020-09-14 16:27:06] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 11 0.18
[series][INFO] [2020-09-14 16:27:06] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 12 0.18
[series][INFO] [2020-09-14 16:27:07] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 13 0.14
[series][INFO] [2020-09-14 16:27:07] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 14 0.15
[series][INFO] [2020-09-14 16:27:07] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 15 0.19
[series][INFO] [2020-09-14 16:27:07] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 16 0.18
[series][INFO] [2020-09-14 16:27:08] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 3 0.1
[series][INFO] [2020-09-14 16:27:08] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 4 0.1
[series][INFO] [2020-09-14 16:27:09] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 5 0.15
[series][INFO] [2020-09-14 16:27:09] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 6 0.14
[series][INFO] [2020-09-14 16:27:09] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 7 0.13
[series][INFO] [2020-09-14 16:27:10] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 8 0.13
[series][INFO] [2020-09-14 16:27:10] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 9 0.17
[series][INFO] [2020-09-14 16:27:10] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 10 0.14
[series][INFO] [2020-09-14 16:27:11] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 11 0.14
[series][INFO] [2020-09-14 16:27:11] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 12 0.16
[series][INFO] [2020-09-14 16:27:11] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 13 0.14
[series][INFO] [2020-09-14 16:27:11] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 14 0.08
[series][INFO] [2020-09-14 16:27:12] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 15 0.2
[series][INFO] [2020-09-14 16:27:12] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 17 16 0.17
[series][INFO] [2020-09-14 16:27:12] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 3 0.1
[series][INFO] [2020-09-14 16:27:13] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 4 0.12
[series][INFO] [2020-09-14 16:27:13] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 5 0.09
[series][INFO] [2020-09-14 16:27:14] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 6 0.07
[series][INFO] [2020-09-14 16:27:14] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 7 0.15
[series][INFO] [2020-09-14 16:27:14] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 8 0.09
[series][INFO] [2020-09-14 16:27:15] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 9 0.14
[series][INFO] [2020-09-14 16:27:15] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 10 0.19
[series][INFO] [2020-09-14 16:27:15] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 11 0.19
[series][INFO] [2020-09-14 16:27:15] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 12 0.14
[series][INFO] [2020-09-14 16:27:16] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 18 13 0.17
